timestamp,id,text,favorite_count,retweet_count,hashtags
Sat Nov 07 16:39:57 +0000 2020,1325115784457281540,my tail is blurry. and my feets. are a tippy tappin,193532,21422,
Sat Oct 31 23:12:32 +0000 2020,1322677869403729920,i was hoping to sit on the porch. with my bucket of candy. and let all the tiny monsters come pet me. but it’s just the human and i tonight. cuddling in our costumes. and looking forward to next year,108015,6068,
Sat Oct 31 15:36:22 +0000 2020,1322563070745440256,it is the spooky day,80292,9852,
Wed Oct 28 14:41:21 +0000 2020,1321462059981180930,i feel chaotic today. so i am off to look for trouble. if i cannot find it. i will create it,111475,13896,
Tue Oct 27 16:10:04 +0000 2020,1321121998727118850,"MY BOOK. IS OUT NOW
https://t.co/6UEgyvAXWf https://t.co/jOnPrRTVOM",25553,1464,
Mon Oct 26 16:00:32 +0000 2020,1320757213263056897,there is a pumpkin. on the neighbor’s porch. that did not have a face yesterday. but today they have a face. that is spooky. and i will be avoiding it,122117,8867,
Thu Oct 22 21:48:34 +0000 2020,1319395244161388545,the day is nearly done. and i have not received. anywhere near. the level of attention i deserve,115519,12919,
Tue Oct 20 16:03:50 +0000 2020,1318583714314547200,the human is in a rush to leave. and needs me to use the bathroom. as quick as i can. but i have not trained for this. and historically. i do not perform well under pressure,117274,7679,
Thu Oct 15 16:43:07 +0000 2020,1316781664043855872,everybody used to smile at me. when i passed them on my walks. but now i can’t tell if they are or not. i hope they still are,171607,11935,
Wed Oct 07 01:09:38 +0000 2020,1313647640039448576,i know. there’s a lot going on right now. so i just wanted to say. i love you,173467,22561,
Wed Sep 30 16:10:25 +0000 2020,1311337616432717824,"I WROTE A BOOK. it is about all my favorite adventures. most of which you haven’t heard yet. and i cannot wait. for you to read it

preorder today: https://t.co/6UEgyvAXWf https://t.co/lE28QKWXlB",41757,3061,
Tue Sep 29 00:57:18 +0000 2020,1310745431815589888,apparently. my stuffed fren sebastian smells bad. so he will be spending the night in the spinny bath. which means the human and i. will be spending the night. next to the spinny bath. so nobody is alone,140805,8550,
Fri Sep 25 16:50:18 +0000 2020,1309535713843507200,ok so. it tasted pretty spooky https://t.co/UL0jYnmD73,72336,5660,
Fri Sep 25 16:45:23 +0000 2020,1309534476897198080,the first crunchy leaf of the season. just fell in the yard. i will go taste it. to determine how spooky. things are about to get,118191,11156,
Mon Sep 21 19:16:38 +0000 2020,1308122986189172736,it is never too late. to go back to bed,127866,18262,
Tue Sep 15 19:32:19 +0000 2020,1305952607328894976,i worked. so. hard. to get the squeaker out of that toy. and you just. threw it away,203997,17775,
Thu Sep 10 16:15:24 +0000 2020,1304091113267978241,the human wiped away my eye booger. only to pet it back onto me. i have never experienced such betrayal,170300,12695,
Mon Sep 07 16:57:40 +0000 2020,1303014585675382791,"i made a list. of reasons you should hang out with me today

4. i am fun
c. i am soft
2. i will listen. to your silly human problems
8. you can pick the snacks
a. i love you",183766,22190,
Mon Aug 31 18:00:06 +0000 2020,1300493582822903808,the human says there are two options. inside or outside. but if they would simply. elevate their mindset. they would uncover a third option: stand in the doorway. and sniff the air,154939,14609,
Wed Aug 26 15:44:47 +0000 2020,1298647588938293248,personally. i think every day. should be dog day,161333,20315,
Wed Aug 26 15:42:26 +0000 2020,1298646999160385536,@dog_rates https://t.co/Nmeh1aoiwd,24581,676,
Thu Aug 20 16:15:02 +0000 2020,1296480874255572992,the human had another video call today. but this time. they put me in front of the screen. gave me their headset. and walked away. it may have been a joke to them. but this is exactly the promotion. i have been waiting for,185854,17917,
Fri Aug 14 20:37:26 +0000 2020,1294372581013741568,i actually look forward to seeing the mailman. because a long time ago. they brought me my stuffed fren sebastian. and i could never thank them enough for doing that,139505,9897,
Wed Aug 12 16:24:36 +0000 2020,1293584177808289794,@Sue_Pook @AndrewsMcMeel ❤️,105,1,
Wed Aug 12 16:03:20 +0000 2020,1293578827004690434,"i made you a calendar for next year. it has one new thought every day. because that is all i’m capable of at the moment. you can preorder it below

https://t.co/FSlntLgsi5 https://t.co/2FOMlH9YSe",28220,1796,
Tue Aug 11 14:55:49 +0000 2020,1293199446524624898,stairs are ridiculous. you cannot just change the ground. who do you think you are,143577,13487,
Thu Aug 06 18:42:29 +0000 2020,1291444551215804417,"i made a list. of all the things i do. when you’re not home

1. wait for you to get back",175433,15199,
Tue Aug 04 12:45:52 +0000 2020,1290630027785117696,gooooob morning. i can already tell. i am going to need a lot of attention today,140202,16290,
Wed Jul 29 21:44:09 +0000 2020,1288591167395737600,the era of doing tricks for treats. is over. starting today. i would like treats. simply for existing,155244,12876,
Mon Jul 27 15:14:20 +0000 2020,1287768291558137858,i sneezed so they could escape. and now the human is here. helping them back outside. that did not go at all how i planned. if the ladybug is reading this. i am so sorry,77348,2542,
Mon Jul 27 15:12:20 +0000 2020,1287767785926352897,I SNIFFED TOO HARD. THE LADYBUG WENT UP MY NOSE,70269,2714,
Mon Jul 27 15:11:00 +0000 2020,1287767452122660869,a ladybug has entered the household. and i. am on my way to introduce myself,139570,9013,
Wed Jul 22 01:22:22 +0000 2020,1285746980681998336,in case you forgot. i love you,189763,25189,
Mon Jul 20 17:04:46 +0000 2020,1285259367755857922,the rarest sit. is the multi-level stair sit. during which my butt is on one stair. while my front feet extend to the stair below. it is a powerful combination. of comfort and style,123788,7384,
Tue Jul 14 16:38:07 +0000 2020,1283078333433999360,there is so much going on right now. based on the human’s tiny screen scrolling. so i am on my way with cuddles. and guess what. i’m bringing my stuffed fren sebastian with me,130134,9661,
Tue Jul 07 21:33:21 +0000 2020,1280615916233846784,i just started my shift. watching the skittle under the fridge. it is a thankless job. but if nobody does it. and the skittle moves. we are in big trouble,151460,10579,
Sun Jul 05 23:38:59 +0000 2020,1279922757426245633,i did not get much sleep last night. because of your sky booms. to make up for this. i will be extending all snoozles. by 15 percent. for the rest of the year,185004,14027,
Fri Jul 03 18:21:39 +0000 2020,1279118120255254529,@dog_rates do not lie. i know scooby doo when i see him,21279,495,
Mon Jun 29 18:11:10 +0000 2020,1277665929380298752,the human has made quite the sandwich for lunch. but when i placed my chin on their knee. and looked up at them softly. they only offered me. a piece of lettuce. nobody talk to me. for the rest of the day,176657,15741,
Wed Jun 24 16:26:18 +0000 2020,1275827601370525697,"i don’t know what the future holds. but i will be there with you. my 2021 planner is available now

https://t.co/WPXVkQhgm6 https://t.co/xsnc6ICQ0e",32024,1299,
Wed Jun 24 16:24:25 +0000 2020,1275827126499831808,i have an announcement,32661,793,
Tue Jun 23 01:13:29 +0000 2020,1275235493391679488,personally. i don’t think you should set off fireworks. for any reason ever,226405,28575,
Fri Jun 19 12:39:19 +0000 2020,1273958539350794242,gooooob morning. if you think i won’t lie down. where the sun shines through the window. with these paws crossed. all day long. you are out of your mind,123845,9026,
Thu Jun 18 00:30:26 +0000 2020,1273412720277123072,there is an easy way to tell. if i would like a hug. and it’s that no matter what. i probably do,117095,14347,
Wed Jun 10 00:00:03 +0000 2020,1270505972406956033,it is the human’s first time trying to change the world. and they are exhausted. so while they rest for a little bit. i have stolen their sign. and will trot proudly around the house with it. until they are ready. to fight again,216869,27351,
Fri Jun 05 17:05:15 +0000 2020,1268952035308658688,"RT @dog_rates: h*ck it, thread of black-owned dog businesses that deserve a fat slice of that $100 billion we’re estimated to spend on our…",0,20780,
Mon May 25 19:33:32 +0000 2020,1265003083492470786,today was supposed to be one of those days. where the human invites a bunch of frens over. someone would eventually drop a plate of food. and it would be my time to shine. but because that can’t happen. the human has been dropping little snacks for me on purpose. all afternoon,151955,10078,
Mon May 18 16:02:15 +0000 2020,1262413196712910849,@dog_rates @shopivoryella it appears my stuffed fren sebastian. has had a growth spurt,13961,288,
Sun May 17 22:48:06 +0000 2020,1262152943761010696,surround yourself. with those who would flip your ear back for you. if it ever went inside out,228150,36695,
Fri May 15 18:51:28 +0000 2020,1261368619230990346,@miss_melisxjg @dog_rates ❤️,1457,7,
Tue May 12 00:48:00 +0000 2020,1260008790520262659,i love you. and there’s nothing you can do about it,136876,17323,
Fri May 08 02:12:05 +0000 2020,1258580402731659266,recently. my only responsibility. has been convincing the human to get out of bed in the morning. so tomorrow we’re making pancakes. because who can say no to pancakes,125615,9582,
Mon May 04 17:58:35 +0000 2020,1257369045122285568,if you start leaving the house again. who will be around to say. ohhh big stretch. every time i do a stretch,235396,29916,
Wed Apr 29 15:33:40 +0000 2020,1255520633179590656,"i have finally narrowed it down. to a few possible reasons. the human is home all the time now

4. can’t stand being away from me
c. loves me so much
1. my presence is a gift",198528,26932,
Sun Apr 26 16:41:01 +0000 2020,1254450419767619586,the human has no idea what the future holds. which is fine. i never know what’s going to happen next. i only know about right now. and right now i’m climbing into your lap. to let you play with my ears,141612,15929,
Tue Apr 21 19:26:25 +0000 2020,1252680106272792578,the human is attempting exercise at home. and to help them with this. i will climb on top of them. making any movement almost impossible,133962,11581,
Mon Apr 20 16:55:36 +0000 2020,1252279763319881728,@SWatercolour ❤️❤️❤️,1858,18,
Fri Apr 17 01:08:33 +0000 2020,1250954266321334272,"hi there. this will only take a moment. i just wanted to let you know.

i love you",156914,17431,
Mon Apr 13 19:31:07 +0000 2020,1249782185911083008,my stuffed fren sebastian and i. have a meeting in a little bit. to discuss how to tell the human. that we have enough bread. there is no need to bake more,134027,10235,
Tue Apr 07 00:37:40 +0000 2020,1247322617545097216,some cuddles. would go a long way right now,171810,27336,
Thu Apr 02 00:00:35 +0000 2020,1245501343126695939,"today. i wasn’t a very good dog

april fools. i was so good",398085,44380,
Wed Apr 01 17:07:24 +0000 2020,1245397364711526400,@dog_rates you scared me,22549,386,
Mon Mar 30 16:43:56 +0000 2020,1244666680862740484,there are no rules these days. i didn’t even put my collar on today. just walked around the house naked,289977,34381,
Tue Mar 24 15:22:26 +0000 2020,1242471845204459522,i decided that today. is bring your human to work day. we stared out the window for hours. and they helped me spot the cars. it was magical,203152,22825,
Mon Mar 23 16:34:14 +0000 2020,1242127527910522881,@dog_rates hi https://t.co/USKWGc67al,38209,1199,
Sat Mar 21 17:45:53 +0000 2020,1241420782204567558,@AmyMcGrathKY ❤️,2022,23,
Fri Mar 20 13:19:46 +0000 2020,1240991422611890178,gooooob morning. i think today. i’ll lie on the porch. with my front paws crossed. and let the sun shine on my face through the trees. occasionally i will rollover. so it shines on my belly. nobody will stop me. because i deserve this,197438,18964,
Wed Mar 18 18:02:31 +0000 2020,1240337805542334464,@dog_rates @NewsStatehouse i would like sarge. to also take care of me,23509,629,
Mon Mar 16 17:29:01 +0000 2020,1239604596017774599,the small neighbor human. is home from school today. but instead of coming over. they’re putting notes against their window. i’m not the best reader. but it seems like they miss me. and we’ll be together again soon,136550,9965,
Sun Mar 15 01:32:55 +0000 2020,1239001599176933378,i just love you,147087,18678,
Tue Mar 10 18:52:27 +0000 2020,1237451266508218368,the human has been working from home the last couple days. and every so often. they let me participate in the video calls. all the other humans cheer when they see me. i am the only thing holding their company together,400639,63461,
Fri Mar 06 00:22:49 +0000 2020,1235722467273887744,@unbury not my problem,19247,349,
Fri Mar 06 00:17:34 +0000 2020,1235721144872734720,i know you put a pill. in my rolled up cheese slice. i’m not mad about it. i would simply appreciate. if you would be honest with me next time,158559,12917,
Tue Mar 03 13:20:00 +0000 2020,1234830887503704066,"gooooob morning. i made a list. of what i would like to accomplish today

7. a big nap
1. maybe get some rest after that
4. sneak in a snoozle
4b. perhaps multiple",144473,16511,
Sat Feb 29 19:06:54 +0000 2020,1233831025504993280,it is really cool. that this year. i was given a whole extra day to love you,184516,24723,
Tue Feb 25 20:02:14 +0000 2020,1232395397089255424,the small neighbor human. had show and tell today at school. and with my human’s permission. they brought me. i just sat beside them and smiled. as they told the whole class. why i’m their best friend,171679,12621,
Wed Feb 19 02:15:15 +0000 2020,1229952556811440128,hi. yes hello. i am ready to be loved now,147516,26528,
Mon Feb 17 23:30:02 +0000 2020,1229548591934402560,today. for the first time in a long time. i checked on the skittle under the fridge. i’m happy to report it’s still there. minding its business. doing the best it can. we should all strive for such an existence,137942,12413,
Fri Feb 14 16:00:18 +0000 2020,1228348248856727553,i’m not sure. if you have a valentine yet. but if you don’t. my application is below https://t.co/U7dqOO0puF,139680,18536,
Mon Feb 10 16:35:47 +0000 2020,1226907626916610053,it was very chilly during our walk today. when i tried to hop in a puddle. i slid across it instead. i am not a penguin. i would like a refund,147880,13698,
Wed Feb 05 13:00:00 +0000 2020,1225041384840880128,"gooooob morning. i’ve made a list. of the things i’d like to happen today

3. pancakes
9. nice walk. with limited running
5. nap in the sun
5. pancakes
2. a little snuggle",164235,17299,
Wed Feb 05 01:06:21 +0000 2020,1224861786966413314,@dog_rates @ohheyohhihello bless you pancake,15787,294,
Sun Feb 02 23:54:08 +0000 2020,1224118839182389248,i am not concerned with the sports. i am however. very concerned with the snacks associated,165717,19761,
Sun Feb 02 20:10:10 +0000 2020,1224062475559006208,the human said. the only reason i wasn’t drafted in the puppy bowl. is because my opponents. wouldn’t stand a chance,119051,9117,
Wed Jan 29 02:17:08 +0000 2020,1222342887024627712,i don’t care when the human goes to bed. i would just like a forehead kiss. before they do,151782,12043,
Thu Jan 23 17:46:34 +0000 2020,1220402456149909505,sometimes. you have to cross your paws. and let everyone know. you’re feeling fancy,167493,18706,
Wed Jan 22 00:58:37 +0000 2020,1219786411907280896,"i just learned. i’ve been nominated for an award. this is incredibly flattering. word must’ve gotten out that i caught my tail
https://t.co/1XSiblKOQO",64533,3571,
Mon Jan 20 13:08:00 +0000 2020,1219245189224706050,gooooob morning. i would already like a hug,159561,21868,
Tue Jan 14 01:21:56 +0000 2020,1216893173672230914,i have to take my stuffed fren sebastian. and my new stuffed fren koala. on our walks. or one of them will get jealous. i carry one. and i make the human carry the other. occasionally we swap frens,120187,7453,
Mon Jan 06 23:09:38 +0000 2020,1214323165125496832,the human came home today. with a new stuffed fren for me. they called it a koala. and as they knelt down to hand it over. they mentioned it could use. all the love i have right now,228969,25878,
Fri Jan 03 19:15:44 +0000 2020,1213177141090639872,@dog_rates the trick to losing weight. is just longer zoomies,23284,972,
Wed Jan 01 02:57:23 +0000 2020,1212206153830195201,the best thing i did. this entire decade. was love you,289881,45510,
Tue Dec 31 20:24:38 +0000 2019,1212107315291271170,RT @dog_rates: The Dogs of 2019 https://t.co/WzZ06yjNlH,0,56647,
Wed Dec 25 15:04:41 +0000 2019,1209852471188832256,gooooob morning. i’m being told. someone came down the chimney last night. this is preposterous. i would’ve lost my mind,207731,22389,
Wed Dec 25 00:42:38 +0000 2019,1209635528024449024,my stuffed fren sebastian and i. have decided to go caroling. we know this involves singing well. and spreading joy. we are confident we can do one of those things https://t.co/2VDPb0ykER,116341,14564,
Sat Dec 21 21:18:41 +0000 2019,1208497039853707266,the small neighbor human came over. with an early gift for me. it was a little locket for my collar. and inside was a pebble. they said they picked it up. the first time they went on a walk with me. i would do anything. for the small neighbor human,188331,13357,
Thu Dec 19 01:59:59 +0000 2019,1207480664603451392,i think. if you decide to hold me. you shouldn’t ever be allowed to stop,129255,14185,
Tue Dec 17 17:15:41 +0000 2019,1206986336051314688,@dog_rates @IvePetThatDog @RoyalCanin i have cleared. my very busy schedule,14775,246,
Sun Dec 15 01:54:48 +0000 2019,1206029810834845698,the human decided to go out tonight. they promised they’d be back soon. so i’m not worried at all. i realized they forgot their jacket. and it smells like they’re still here. so it will be my new bed. until they return,171489,12127,
Fri Dec 13 20:35:12 +0000 2019,1205586994727981057,@dog_rates eeyore. we are going to get you out of that wagon. even though it’s a pretty cool wagon,18056,474,
Tue Dec 10 13:39:36 +0000 2019,1204395239420702722,gooooob morning. i know you’ve got a lot going on right now. so i wanted to mention. i think you’re doing great,193009,36195,
Sat Dec 07 23:22:31 +0000 2019,1203454771165724672,i have spent the whole day. watching the human make a gingerbread house. the final touch. was a little icing dog. staring out one of the windows. now it’s a gingerbread home,192862,19492,
Fri Dec 06 19:35:04 +0000 2019,1203035144501641217,@dog_rates i will lend her. my stuffed fren sebastian. if that would help,24329,537,
Wed Dec 04 20:04:40 +0000 2019,1202317817304895488,the human who always brings packages. brought another package today. i put my nose against the window to say hi. and they poked it from the other side of the glass. before smiling. and continuing on their way,131493,8798,
Tue Dec 03 01:41:52 +0000 2019,1201677901646589953,the human seems to think. only one of us can fit on a chair. but what they always fail to consider. is if we were stacked on top of each other,175983,17296,
Sun Dec 01 18:47:16 +0000 2019,1201211178304847872,can someone please tell them. i said hi back https://t.co/yHdtZmkqvd,52329,2777,
Thu Nov 28 22:09:46 +0000 2019,1200174971982467074,there are many humans in the household right now. and they all seem to have snacks. so i’m going to convince each and every one of them. that i have not eaten. in several weeks,228492,24720,
Tue Nov 26 13:06:51 +0000 2019,1199313568715296769,gooooob morning. today has infinite wondrous possibilities. i’m going back to sleep. but you should find out what they are,156193,22216,
Mon Nov 25 18:15:48 +0000 2019,1199028931505975299,"i made a bunch of holiday cards. for you to give to everyone you know. i hope you like them

https://t.co/BETd4o24a0 https://t.co/3AKpDOllGp",20161,1252,
Sun Nov 24 20:38:06 +0000 2019,1198702354775728128,the small neighbor human and i. have been working on a puzzle. for quite some time. we only have one piece left. but we can’t find it anywhere. i hope i didn’t eat it. that sounds like something i might do,153150,11235,
Thu Nov 21 18:03:16 +0000 2019,1197576226077954048,i choose to believe. that when he locates a koala. he puts them on his back. and they ride him out of the fire https://t.co/Yoyi3Axxx2,87958,7921,
Sat Nov 16 21:16:04 +0000 2019,1195812805141622784,at the park today. i noticed the human glancing at another human. so i made my way over. and sat on their foot. forcing my human to come apologize for me. i am a matchmaker,219024,16493,
Fri Nov 15 16:26:11 +0000 2019,1195377466694492160,@dog_rates she can use my noggin. when i’m not using it,16188,351,
Wed Nov 13 13:26:42 +0000 2019,1194607519806525440,gooooob morning. i’ve given it some thought. and i’m going to be the best today,123876,12619,
Fri Nov 08 02:03:04 +0000 2019,1192623539595051010,"i would like more frens. so i have made a list of my best qualities. for your consideration

6. am fluffy
1. can jump (and sit)
C. sometimes i sneeze

i look forward. to hearing from you",215917,21678,
Thu Nov 07 17:09:38 +0000 2019,1192489299289067520,@dog_rates i helped https://t.co/TECzv8QrAl,11248,325,
Mon Nov 04 18:50:28 +0000 2019,1191427507284795392,the human keeps a picture of me. on the front of their little computer. so they can show everyone they meet. wherever they go. just how beautiful i am,184934,17800,
Thu Oct 31 23:50:51 +0000 2019,1190053550614646785,the tiny monsters are on their way. and my job. is to hold this bucket of snacks for them. i was told they can only take one. but that’s not my rule to enforce,133185,11232,
Thu Oct 31 16:51:11 +0000 2019,1189947938090340355,the human asked what i wanted to be for halloween. and after some thought. i have decided. i would like to be cherished,174319,26482,
Wed Oct 30 00:51:22 +0000 2019,1189344003902320640,could you please do that thing. where you hold me,156809,23898,
Sun Oct 27 22:04:06 +0000 2019,1188577135293657088,occasionally during our walks. someone will pass us. and completely ignore my human. but whisper hello to me. i really enjoy this,241267,22382,
Wed Oct 23 18:12:46 +0000 2019,1187069367994863616,my stuffed fren sebastian and i. were hanging outside. when a leaf fell from above. and came to rest on his noggin. he has been chosen. sebastian is king of spooky season. long may he reign,137612,13406,
Mon Oct 21 12:01:34 +0000 2019,1186251174690746370,gooooob morning. i am already very tired. so i really think. we should all try again tomorrow,183383,36422,
Wed Oct 16 23:46:01 +0000 2019,1184616518946041857,would you mind. taking a moment to consider. that i love you,133616,16778,
Sun Oct 13 17:10:19 +0000 2019,1183429772845600768,we are headed to a pumpkin patch. and although i’ve been told. i can only bring one home. i am going to say hi. to every pumpkin there,168403,14378,
Thu Oct 10 00:00:15 +0000 2019,1182083384115261441,today. is my stuffed fren sebastian’s second birthday. and to celebrate. we would like to see. all of your favorite stuffed frens,138579,9253,
Wed Oct 09 18:53:13 +0000 2019,1182006118060445696,the human came home for a bit. claiming they forgot their lunch. but i think we all know. they just missed me,165307,13751,
Fri Oct 04 16:58:21 +0000 2019,1180165271668965376,if you leave the room i’m in. i will always follow you to the next one. whatever this adventure is. you don’t have to do it alone,199942,26168,
Wed Oct 02 12:10:45 +0000 2019,1179368116926717954,gooooob morning. i think. with the right amount of peanut butter. today could go well,125675,13888,
Sun Sep 29 19:36:33 +0000 2019,1178393144250916864,the human invited some frens over. and one of them is sitting on the floor. gently rubbing my ears. they refer to me as the squishy wonder. and if my human doesn’t step it up. i’m going home with them,173147,14485,
Wed Sep 25 12:03:00 +0000 2019,1176829451629256705,gooooob morning. i would like a lot of support today. just in general,143206,22087,
Sun Sep 22 19:47:57 +0000 2019,1175859298825621506,i found a pizza crust. on our walk today. in case anyone was thinking. about giving up on their dreams,132680,14750,
Tue Sep 17 23:04:37 +0000 2019,1174096850619486209,the small neighbor human. came over after school. to try to get me to eat their homework. while i don’t condone such behavior. i absolutely complied,160293,12655,
Fri Sep 13 22:37:00 +0000 2019,1172640349954510849,i hear a noise. i think it’s the garaGE DOOR. IT IS THE GARAGE DOOR. THE HUMAN IS HOME. AND MY FEETS. THEY ARE A TIPPY TAPPIN,209739,19674,
Tue Sep 10 00:35:02 +0000 2019,1171220502649569280,i may have gotten bigger. but my desire to be held. has remained constant,197838,26815,
Sun Sep 08 21:19:33 +0000 2019,1170808918152376320,i do not understand the sports. but based on the variety of emotions. the human has gone through. in such a short time. i’m not sure i want to,132982,12426,
Wed Sep 04 02:45:00 +0000 2019,1169078881963261953,i went outside one more time before bed. the human kept calling me. but the stars look so nice right now. if i sit and enjoy them long enough. the human will have no choice. but to come out. and enjoy them with me,200240,21303,
Tue Sep 03 16:30:19 +0000 2019,1168924189593624581,"beginning next year. not a day will go by. without a thought from yours truly. my calendar is available now

https://t.co/6UEgyvjn4H https://t.co/9UbQ5zvYFd",34336,2136,
Thu Aug 29 23:29:29 +0000 2019,1167217739800309760,i’ve been thinking about it a lot recently. and i would really appreciate. a kiss on my forehead,176877,26594,
Mon Aug 26 15:30:39 +0000 2019,1166010073799200770,@dog_rates https://t.co/rtBJOS5aZ0,31575,1049,
Sun Aug 25 21:25:51 +0000 2019,1165737073120182272,the small neighbor human. goes back to school tomorrow. so we spent the whole day together. doing our favorite things. i understand education is important. but here’s the thing. so am i,193122,18706,
Thu Aug 22 22:48:54 +0000 2019,1164670810407092224,petting me with your foot. only counts. as half a pet,134023,9945,
Tue Aug 20 03:20:54 +0000 2019,1163652098191314944,i was already asleep. when the human picked me up from my bed. and placed me onto theirs. recommence your snoozles. everything is perfect,153642,11499,
Thu Aug 15 16:35:50 +0000 2019,1162040212417122305,i am going to skip ahead. and look at all the dogs. as soon as i get it. no one can stop me https://t.co/fxpJg6M18f,34161,1277,
Tue Aug 13 02:10:20 +0000 2019,1161097625699082245,i’m not sure if you noticed. but i love you,173866,25312,
Sat Aug 10 15:29:46 +0000 2019,1160211643923673088,today. i’m going to lie on the porch. with my front paws hanging off the top stair. and when the sun breaks through the trees. i will squint and smile. and become marginally toastier,169856,15155,
